1,user@email.com,2024-12-13,
2,someone@mail.com,2025-01-07,
3,dude@yahoo.com,2025-03-23,2025-03-25
4,another@mail.com,2025-03-25,2025-03-27
5,another@gmail.com,2023-04-25,
6,random_user1@example.com,0001-01-01T00:00:00Z,2025-05-14T21:55:50+02:00
7,johndoe@gmail.com,2024-02-28,
8,alice_smith@hotmail.com,2023-09-12,
9,business_contact@company.net,2025-04-01,
10,tech_support@service.org,2024-11-19,
11,new_customer@shop.com,2023-03-30,
12,marketing@agency.co,2024-07-22,
13,developer42@codebase.io,2025-02-14,
14,finance_dept@corp.biz,0001-01-01T00:00:00Z,2025-05-14T21:52:06+02:00
15,newsletter@updates.info,2024-10-09,
